Entity,"GDP per capita, PPP (constant 2017 international $)",Annual greenhouse gas emissions in COâ‚‚ equivalents/per person
AustraliaAlbania,55630.843,39.93677150863024
BahrainArgentina,69121.336,55.31910457183745
BelgiumAustria,99815.98999999999,22.437812838322568
CanadaBelarus,62159.523,33.38626475323831
DenmarkBrazil,65650.155,24.90772411174155
EstoniaBulgaria,44179.801,24.78276980727383
FinlandChile,67099.764,26.55588320102767
FranceChina,51030.272,15.130633149450702
GermanyCosta Rica,63666.255999999994,14.56818472645788
Hong KongCroatia,76002.95000000001,11.941607128681719
IrelandCyprus,91733.22,21.43925776347415
IsraelGreece,68043.66,20.849184671441236
JapanHungary,62543.42,15.747960434191922
KuwaitIceland,107237.65,59.67573210826554
LuxembourgIndia,118557.347,26.31588942796728
NetherlandsKazakhstan,72784.24799999999,37.61712691115705
New ZealandLatvia,58731.367,19.616696958110573
NorwayLithuania,85615.72,24.570835191896713
Saudi ArabiaMalaysia,61403.445,38.74256107832845
SingaporeMexico,97246.137,16.274950222266234
SloveniaOman,74170.551,41.04084156526915
SpainPanama,59555.63,13.636531356119754
SwedenPoland,71484.28,19.873494044193208
SwitzerlandPortugal,97060.49399999999,12.64023995293968
United Arab EmiratesRomania,77042.369,38.54274173138545
United KingdomRussia,65975.044,25.67929661513817
United StatesSlovakia,80140.891,29.571316202586885
,,
,,
,,
,,
,,
,,
